Цель: Получить список всех товаров из конкретного заказа (например, заказ с ID = 3), отсортированный по цене по убыванию.
"Товар 336",5,"83011.11"
"Товар 407",2,"82657.60"
"Товар 230",2,"82593.26"
"Товар 166",9,"82552.67"
"Товар 147",7,"82544.20"
"Товар 448",4,"82395.22"
"Товар 129",7,"82143.63"
"Товар 371",10,"82136.25"
"Товар 155",1,"81906.87"
"Товар 253",10,"81873.77"
"Товар 44",8,"81734.73"
"Товар 281",8,"81666.52"
"Товар 410",3,"81468.64"
"Товар 190",3,"81414.46"
"Товар 217",1,"81214.96"
"Товар 368",4,"81177.98"
"Товар 475",2,"81065.00"
"Товар 379",10,"81045.82"
"Товар 24",4,"81045.05"
"Товар 281",2,"80934.55"
"Товар 417",1,"80828.24"
"Товар 162",6,"80750.43"
"Товар 319",1,"80704.09"
"Товар 452",2,"80641.60"
"Товар 134",8,"80402.42"
"Товар 227",8,"80105.80"
"Товар 489",2,"79851.61"
"Товар 280",3,"79809.35"
"Товар 321",1,"79768.32"
"Товар 386",7,"79578.01"
"Товар 404",10,"79531.31"
"Товар 225",7,"79493.84"
"Товар 29",8,"79262.96"
"Товар 436",5,"79260.34"
"Товар 106",1,"79237.21"
"Товар 43",10,"79020.33"
"Товар 351",10,"79007.75"
"Товар 330",9,"78989.84"
"Товар 89",2,"78897.26"
"Товар 383",10,"78872.05"
"Товар 227",4,"78721.73"
"Товар 496",10,"78660.80"
"Товар 73",1,"78429.01"
"Товар 82",1,"78281.25"
"Товар 416",9,"78149.86"
"Товар 385",7,"78129.58"
"Товар 128",1,"78127.05"
"Товар 352",3,"78050.92"
"Товар 327",10,"78033.81"
"Товар 270",2,"77791.55"
"Товар 9",8,"77787.05"
"Товар 313",10,"77702.24"
"Товар 358",7,"77485.30"
"Товар 228",9,"77310.44"
"Товар 13",7,"76937.63"
"Товар 55",6,"76921.56"
"Товар 204",10,"76892.23"
"Товар 176",5,"76832.92"
"Товар 186",3,"76766.16"
"Товар 385",9,"76703.96"
"Товар 37",8,"76553.69"
"Товар 303",4,"76531.85"
"Товар 263",8,"76522.04"
"Товар 349",2,"76294.62"
"Товар 133",7,"76288.15"
"Товар 259",3,"76139.76"
"Товар 1",1,"76098.29"
"Товар 247",10,"76083.16"
"Товар 16",2,"76043.80"
"Товар 206",7,"75976.46"
"Товар 22",9,"75969.37"
"Товар 71",7,"75887.65"
"Товар 491",9,"75844.08"
"Товар 279",2,"75641.33"
"Товар 239",4,"75392.36"
"Товар 97",6,"75354.65"
"Товар 262",6,"75326.86"
"Товар 171",8,"75299.78"
"Товар 317",2,"75251.76"
"Товар 68",9,"75166.53"
"Товар 326",3,"75021.18"
"Товар 33",9,"74889.82"
"Товар 395",2,"74777.59"
"Товар 77",4,"74747.10"
"Товар 25",7,"74528.45"
"Товар 291",5,"74465.46"
"Товар 18",3,"74402.35"
"Товар 211",1,"74169.60"
"Товар 253",2,"74035.32"
"Товар 180",1,"73936.51"
"Товар 379",5,"73918.83"
"Товар 407",5,"73882.03"
"Товар 113",1,"73840.35"
"Товар 493",1,"73839.28"
"Товар 482",8,"73702.67"
"Товар 393",1,"73588.37"
"Товар 407",10,"73390.99"
"Товар 78",1,"73330.07"
"Товар 305",3,"72973.08"
"Товар 87",3,"72789.26"
"Товар 98",6,"72777.72"
"Товар 297",7,"72372.02"
"Товар 478",7,"72242.26"
"Товар 297",2,"72221.20"
"Товар 283",8,"72188.34"
"Товар 358",1,"72139.77"
"Товар 308",8,"72122.70"
"Товар 154",7,"72091.57"
"Товар 56",4,"72032.72"
"Товар 254",4,"72004.75"
"Товар 204",8,"71994.95"
"Товар 367",2,"71987.41"
"Товар 500",10,"71940.85"
"Товар 369",3,"71806.43"
"Товар 443",5,"71730.97"
"Товар 391",9,"71609.00"
"Товар 344",5,"71607.31"
"Товар 46",9,"71581.37"
"Товар 266",6,"71515.14"
"Товар 477",9,"71320.60"
"Товар 449",2,"71239.76"
"Товар 195",1,"71166.55"
"Товар 339",2,"71108.51"
"Товар 144",6,"70922.89"
"Товар 480",2,"70845.67"
"Товар 36",2,"70838.45"
"Товар 448",4,"70825.20"
"Товар 441",2,"70562.35"
"Товар 35",7,"70481.96"
"Товар 263",7,"70347.30"
"Товар 15",8,"70257.44"
"Товар 427",5,"70250.70"
"Товар 461",10,"70246.02"
"Товар 306",8,"70219.40"
"Товар 179",4,"69901.27"
"Товар 338",9,"69745.65"
"Товар 147",5,"69719.11"
"Товар 270",7,"69707.52"
"Товар 341",9,"69594.42"
"Товар 343",7,"69557.88"
"Товар 491",2,"69550.95"
"Товар 190",2,"69390.62"
"Товар 182",10,"69380.82"
"Товар 17",7,"69366.13"
"Товар 36",1,"69153.90"
"Товар 111",1,"69129.45"
"Товар 91",1,"69076.79"
"Товар 426",4,"68990.62"
"Товар 7",9,"68827.66"
"Товар 386",1,"68825.84"
"Товар 288",8,"68615.64"
"Товар 100",7,"68601.89"
"Товар 419",4,"68229.85"
"Товар 407",6,"68206.64"
"Товар 227",5,"68038.80"
"Товар 341",6,"67947.10"
"Товар 17",5,"67890.95"
"Товар 248",2,"67814.34"
"Товар 199",10,"67779.43"
"Товар 388",9,"67596.47"
"Товар 469",1,"67568.38"
"Товар 459",3,"67561.89"
"Товар 99",1,"67320.95"
"Товар 294",6,"67315.19"
"Товар 156",5,"67295.63"
"Товар 438",8,"67153.31"
"Товар 199",4,"67059.46"
"Товар 220",4,"67005.64"
"Товар 86",3,"66884.30"
"Товар 93",2,"66810.31"
"Товар 339",5,"66748.35"
"Товар 465",5,"66382.86"
"Товар 165",8,"66263.08"
"Товар 483",10,"66185.84"
"Товар 452",1,"66181.74"
"Товар 189",2,"66034.34"
"Товар 297",1,"65988.32"
"Товар 430",5,"65900.82"
"Товар 436",3,"65791.81"
"Товар 374",10,"65710.28"
"Товар 23",9,"65577.78"
"Товар 107",5,"65483.31"
"Товар 68",3,"65192.95"
"Товар 141",8,"65191.78"
"Товар 153",1,"65156.52"
"Товар 295",5,"65098.71"
"Товар 277",2,"64982.09"
"Товар 357",8,"64914.88"
"Товар 480",6,"64691.63"
"Товар 116",5,"64644.44"
"Товар 336",10,"64562.51"
"Товар 130",8,"64557.67"
"Товар 21",8,"64454.35"
"Товар 372",2,"64442.03"
"Товар 38",4,"64235.37"
"Товар 375",9,"63953.68"
"Товар 330",4,"63768.36"
"Товар 152",7,"63679.40"
"Товар 479",10,"63677.54"
"Товар 416",9,"63507.66"
"Товар 157",6,"63498.24"
"Товар 32",1,"63432.10"
"Товар 17",2,"63410.50"
"Товар 272",5,"63342.11"
"Товар 433",6,"63315.21"
"Товар 350",2,"63310.19"
"Товар 292",9,"63260.23"
"Товар 294",1,"63239.43"
"Товар 37",9,"63136.22"
"Товар 219",6,"62765.20"
"Товар 364",4,"62429.32"
"Товар 243",10,"62420.48"
"Товар 438",6,"62400.85"
"Товар 447",2,"62376.45"
"Товар 452",3,"62275.37"
"Товар 483",2,"62262.11"
"Товар 411",9,"62229.96"
"Товар 240",3,"62108.06"
"Товар 440",6,"61868.92"
"Товар 15",4,"61791.18"
"Товар 128",8,"61725.85"
"Товар 497",7,"61613.74"
"Товар 32",8,"61555.23"
"Товар 337",6,"61391.95"
"Товар 476",5,"61224.85"
"Товар 400",2,"61198.18"
"Товар 297",7,"61108.91"
"Товар 394",1,"61044.13"
"Товар 245",2,"61032.79"
"Товар 21",7,"60973.44"
"Товар 452",2,"60904.69"
"Товар 98",4,"60750.09"
"Товар 29",3,"60536.41"
"Товар 206",10,"60372.05"
"Товар 383",8,"60326.62"
"Товар 20",8,"60253.45"
"Товар 228",9,"60196.44"
"Товар 362",9,"59872.72"
"Товар 386",4,"59787.35"
"Товар 475",6,"59650.07"
"Товар 427",2,"59480.23"
"Товар 199",5,"59373.27"
"Товар 459",10,"59270.09"
"Товар 455",8,"59128.04"
"Товар 135",8,"59126.23"
"Товар 473",8,"59119.80"
"Товар 430",6,"59105.57"
"Товар 342",2,"59019.33"
"Товар 360",10,"58954.57"
"Товар 125",6,"58865.54"
"Товар 258",5,"58802.94"
"Товар 396",2,"58665.18"
"Товар 434",4,"58546.91"
"Товар 456",1,"57786.85"
"Товар 485",8,"57770.52"
"Товар 234",5,"57548.83"
"Товар 316",1,"57448.46"
"Товар 447",4,"57383.93"
"Товар 321",9,"57343.58"
"Товар 231",2,"57276.11"
"Товар 188",7,"57218.39"
"Товар 322",6,"57170.87"
"Товар 6",9,"57042.67"
"Товар 363",8,"57000.89"
"Товар 156",5,"56998.71"
"Товар 260",4,"56714.60"
"Товар 411",6,"56609.46"
"Товар 327",9,"56571.57"
"Товар 441",8,"56254.99"
"Товар 249",5,"56092.99"
"Товар 454",10,"55988.15"
"Товар 479",1,"55918.34"
"Товар 186",9,"55279.26"
"Товар 134",7,"55211.07"
"Товар 338",1,"55105.49"
"Товар 122",5,"55035.91"
"Товар 16",9,"54927.26"
"Товар 288",4,"54921.98"
"Товар 496",3,"54892.41"
"Товар 83",2,"54838.68"
"Товар 464",5,"54624.82"
"Товар 298",4,"54587.49"
"Товар 467",8,"54549.36"
"Товар 131",6,"54524.27"
"Товар 376",10,"54461.72"
"Товар 71",6,"54430.52"
"Товар 101",2,"54410.96"
"Товар 497",4,"54333.66"
"Товар 90",1,"54315.51"
"Товар 419",6,"54286.22"
"Товар 244",1,"54214.19"
"Товар 486",8,"54072.89"
"Товар 176",2,"54044.47"
"Товар 49",6,"53967.09"
"Товар 12",6,"53849.57"
"Товар 327",3,"53778.50"
"Товар 109",9,"53764.47"
"Товар 277",4,"53746.18"
"Товар 94",2,"53634.89"
"Товар 138",1,"53595.11"
"Товар 481",7,"53477.54"
"Товар 80",10,"53338.41"
"Товар 281",9,"53254.22"
"Товар 239",2,"53100.33"
"Товар 337",4,"53031.54"
"Товар 348",6,"52822.50"
"Товар 168",10,"52743.41"
"Товар 337",10,"52730.74"
"Товар 210",8,"52698.34"
"Товар 335",9,"52677.00"
"Товар 34",2,"52639.78"
"Товар 219",9,"52638.24"
"Товар 420",2,"52629.72"
"Товар 452",6,"52578.84"
"Товар 268",6,"52535.50"
"Товар 55",10,"52411.91"
"Товар 45",4,"52352.36"
"Товар 168",8,"52345.30"
"Товар 263",6,"52308.88"
"Товар 238",4,"52173.17"
"Товар 303",5,"52161.42"
"Товар 263",9,"52042.23"
"Товар 188",1,"52022.74"
"Товар 151",9,"51901.65"
"Товар 38",7,"51841.91"
"Товар 426",3,"51765.08"
"Товар 63",3,"51539.35"
"Товар 415",9,"51367.45"
"Товар 157",7,"51338.31"
"Товар 13",4,"51284.99"
"Товар 497",2,"51165.82"
"Товар 425",3,"51136.83"
"Товар 464",3,"51013.86"
"Товар 76",3,"50981.98"
"Товар 26",6,"50835.69"
"Товар 97",8,"50814.75"
"Товар 198",10,"50561.35"
"Товар 164",7,"50217.86"
"Товар 228",6,"50073.76"
"Товар 387",7,"50006.54"
"Товар 428",5,"49837.97"
"Товар 336",1,"49722.95"
"Товар 228",2,"49718.24"
"Товар 86",7,"49633.82"
"Товар 169",7,"49615.02"
"Товар 435",2,"49604.97"
"Товар 317",4,"49578.88"
"Товар 396",4,"49553.74"
"Товар 314",6,"49300.39"
"Товар 366",2,"49062.58"
"Товар 485",5,"48909.90"
"Товар 202",4,"48759.34"
"Товар 114",2,"48663.19"
"Товар 474",6,"48639.72"
"Товар 221",8,"48601.90"
"Товар 121",10,"48525.65"
"Товар 374",10,"48525.41"
"Товар 265",5,"48521.39"
"Товар 315",6,"48385.03"
"Товар 36",8,"48344.12"
"Товар 4",9,"48218.12"
"Товар 394",9,"47945.48"
"Товар 2",9,"47837.35"
"Товар 264",5,"47633.87"
"Товар 155",2,"47629.15"
"Товар 273",4,"47513.93"
"Товар 407",5,"47417.75"
"Товар 1",5,"47145.10"
"Товар 498",9,"47099.29"
"Товар 300",10,"47096.09"
"Товар 327",10,"46910.61"
"Товар 75",2,"46849.20"
"Товар 332",2,"46812.51"
"Товар 377",3,"46764.74"
"Товар 197",7,"46650.49"
"Товар 308",2,"46513.61"
"Товар 29",2,"46455.87"
"Товар 454",5,"46152.99"
"Товар 487",8,"46136.65"
"Товар 176",7,"46102.23"
"Товар 403",6,"45958.69"
"Товар 190",4,"45885.16"
"Товар 500",8,"45706.97"
"Товар 144",3,"45554.80"
"Товар 141",1,"45358.47"
"Товар 481",5,"45274.56"
"Товар 472",1,"45253.82"
"Товар 60",3,"45230.58"
"Товар 167",10,"45152.03"
"Товар 480",2,"45090.76"
"Товар 442",10,"44938.09"
"Товар 356",9,"44936.73"
"Товар 264",1,"44831.37"
"Товар 82",7,"44801.18"
"Товар 64",2,"44726.79"
"Товар 90",9,"44464.39"
"Товар 388",5,"44462.37"
"Товар 387",8,"44452.45"
"Товар 206",5,"44202.12"
"Товар 387",3,"44134.29"
"Товар 395",1,"44092.46"
"Товар 259",7,"43707.78"
"Товар 427",1,"43416.41"
"Товар 397",4,"43354.63"
"Товар 477",4,"43178.34"
"Товар 305",8,"43092.82"
"Товар 291",5,"43086.96"
"Товар 421",2,"42834.29"
"Товар 431",8,"42707.99"
"Товар 419",7,"42607.58"
"Товар 68",6,"42605.41"
"Товар 453",3,"42518.56"
"Товар 150",1,"42420.07"
"Товар 270",6,"42190.79"
"Товар 25",6,"41894.20"
"Товар 402",1,"41699.14"
"Товар 432",4,"41665.91"
"Товар 162",6,"41599.15"
"Товар 5",8,"41448.64"
"Товар 291",5,"41349.09"
"Товар 312",3,"41344.80"
"Товар 79",3,"41299.55"
"Товар 390",2,"41241.50"
"Товар 441",6,"41232.60"
"Товар 81",8,"41135.06"
"Товар 286",3,"41045.89"
"Товар 332",3,"41003.34"
"Товар 271",7,"40752.25"
"Товар 157",6,"40579.13"
"Товар 20",1,"40548.17"
"Товар 374",6,"40472.92"
"Товар 353",8,"40374.29"
"Товар 451",8,"40100.32"
"Товар 220",10,"40094.94"
"Товар 447",7,"39957.48"
"Товар 355",8,"39920.81"
"Товар 348",7,"39797.04"
"Товар 28",2,"39747.32"
"Товар 239",10,"39537.54"
"Товар 449",3,"39442.32"
"Товар 477",1,"39331.06"
"Товар 425",8,"39259.23"
"Товар 93",4,"39182.24"
"Товар 421",8,"39135.56"
"Товар 46",4,"39059.45"
"Товар 12",9,"38856.75"
"Товар 224",1,"38670.06"
"Товар 304",4,"38559.32"
"Товар 337",1,"38554.11"
"Товар 440",6,"38385.43"
"Товар 330",9,"38327.18"
"Товар 320",6,"38317.79"
"Товар 421",3,"37981.38"
"Товар 26",1,"37787.44"
"Товар 224",9,"37744.07"
"Товар 216",6,"37706.69"
"Товар 185",6,"37594.77"
"Товар 157",9,"37577.83"
"Товар 192",6,"37289.83"
"Товар 230",3,"37210.23"
"Товар 287",1,"37184.78"
"Товар 381",2,"37101.92"
"Товар 267",10,"37100.44"
"Товар 295",6,"37092.54"
"Товар 28",3,"36763.88"
"Товар 424",1,"36688.45"
"Товар 399",5,"36461.26"
"Товар 468",1,"36432.80"
"Товар 274",8,"36240.65"
"Товар 147",2,"36137.77"
"Товар 474",6,"36128.59"
"Товар 6",6,"36097.02"
"Товар 155",8,"36049.05"
"Товар 192",5,"35999.18"
"Товар 330",5,"35923.76"
"Товар 221",4,"35800.74"
"Товар 32",3,"35649.86"
"Товар 143",6,"35555.44"
"Товар 9",3,"35353.70"
"Товар 9",2,"35048.43"
"Товар 460",2,"34617.81"
"Товар 165",7,"34588.86"
"Товар 455",4,"34542.45"
"Товар 408",9,"34503.73"
"Товар 437",4,"34491.46"
"Товар 337",1,"34381.37"
"Товар 436",10,"34171.49"
"Товар 494",6,"34028.73"
"Товар 49",1,"33719.58"
"Товар 164",6,"33661.27"
"Товар 492",4,"33619.66"
"Товар 470",9,"33563.53"
"Товар 248",4,"33350.70"
"Товар 407",8,"33154.32"
"Товар 237",6,"33151.21"
"Товар 61",3,"32928.00"
"Товар 463",9,"32890.91"
"Товар 499",10,"32684.74"
"Товар 16",5,"32402.53"
"Товар 362",4,"32213.18"
"Товар 382",9,"32161.26"
"Товар 177",7,"32152.30"
"Товар 443",3,"32102.05"
"Товар 364",9,"32098.80"
"Товар 44",9,"32051.29"
"Товар 278",5,"32017.07"
"Товар 308",1,"31947.78"
"Товар 258",4,"31924.65"
"Товар 56",3,"31778.05"
"Товар 431",4,"31681.31"
"Товар 487",2,"31670.56"
"Товар 141",8,"31501.83"
"Товар 118",7,"31496.47"
"Товар 299",10,"31486.14"
"Товар 182",2,"31402.22"
"Товар 386",1,"31252.64"
"Товар 105",5,"31027.43"
"Товар 464",5,"30825.68"
"Товар 320",4,"30730.34"
"Товар 355",1,"30634.70"
"Товар 451",9,"30354.10"
"Товар 358",9,"30295.06"
"Товар 310",3,"30063.19"
"Товар 80",10,"29835.53"
"Товар 468",5,"29439.85"
"Товар 144",10,"29413.57"
"Товар 197",3,"28989.83"
"Товар 387",9,"28642.92"
"Товар 96",4,"28604.80"
"Товар 79",4,"28446.80"
"Товар 176",10,"28249.91"
"Товар 125",4,"28228.00"
"Товар 164",8,"28053.21"
"Товар 460",7,"27873.00"
"Товар 90",3,"27692.40"
"Товар 332",7,"27656.59"
"Товар 25",1,"27646.43"
"Товар 73",10,"27501.91"
"Товар 484",6,"27472.73"
"Товар 457",2,"27186.11"
"Товар 78",5,"27052.68"
"Товар 206",3,"26889.15"
"Товар 370",4,"26763.04"
"Товар 383",6,"26727.41"
"Товар 38",8,"26538.63"
"Товар 154",6,"26388.40"
"Товар 148",7,"26302.18"
"Товар 124",4,"26301.55"
"Товар 375",8,"26199.88"
"Товар 480",2,"26078.99"
"Товар 252",1,"25950.71"
"Товар 454",1,"25940.05"
"Товар 60",9,"25580.09"
"Товар 244",5,"25376.22"
"Товар 122",9,"25333.41"
"Товар 14",7,"25276.18"
"Товар 11",9,"25268.43"
"Товар 253",1,"25067.43"
"Товар 320",10,"24927.12"
"Товар 483",2,"24920.32"
"Товар 302",10,"24760.03"
"Товар 23",5,"24698.04"
"Товар 58",2,"24460.32"
"Товар 322",2,"24332.50"
"Товар 344",1,"24263.22"
"Товар 69",1,"24146.00"
"Товар 77",6,"24088.71"
"Товар 202",7,"24045.38"
"Товар 473",5,"23992.25"
"Товар 461",5,"23941.49"
"Товар 253",6,"23818.62"
"Товар 69",7,"23600.83"
"Товар 239",2,"23588.30"
"Товар 440",8,"23585.26"
"Товар 289",7,"23449.16"
"Товар 246",8,"23415.45"
"Товар 133",6,"23409.43"
"Товар 99",3,"23180.93"
"Товар 338",6,"23121.44"
"Товар 385",10,"23083.83"
"Товар 344",3,"22879.71"
"Товар 361",4,"22812.84"
"Товар 262",1,"22765.23"
"Товар 217",2,"22721.99"
"Товар 202",9,"22635.22"
"Товар 14",1,"22540.05"
"Товар 405",3,"22476.50"
"Товар 493",8,"22450.08"
"Товар 243",8,"22354.38"
"Товар 452",4,"22289.74"
"Товар 360",5,"22145.92"
"Товар 130",2,"22132.18"
"Товар 334",3,"22127.26"
"Товар 164",6,"22035.47"
"Товар 447",3,"21957.69"
"Товар 445",10,"21918.33"
"Товар 484",7,"21717.95"
"Товар 360",3,"21629.74"
"Товар 351",2,"21625.35"
"Товар 347",6,"21554.07"
"Товар 8",2,"21548.71"
"Товар 231",9,"21387.14"
"Товар 142",2,"21305.25"
"Товар 220",4,"21091.43"
"Товар 286",4,"21083.55"
"Товар 383",3,"20725.43"
"Товар 24",6,"20430.81"
"Товар 342",2,"20402.95"
"Товар 272",1,"20264.71"
"Товар 201",1,"20260.54"
"Товар 369",8,"20179.80"
"Товар 312",3,"20138.05"
"Товар 304",5,"20089.01"
"Товар 220",2,"20013.74"
"Товар 292",2,"19991.52"
"Товар 449",8,"19982.74"
"Товар 234",3,"19928.37"
"Товар 143",1,"19850.31"
"Товар 114",10,"19741.05"
"Товар 339",2,"19524.56"
"Товар 27",9,"19499.80"
"Товар 466",7,"19490.77"
"Товар 196",7,"19439.77"
"Товар 436",8,"19434.94"
"Товар 365",2,"19394.26"
"Товар 39",9,"19341.57"
"Товар 277",3,"19104.33"
"Товар 208",5,"18946.39"
"Товар 91",7,"18882.81"
"Товар 399",8,"18768.41"
"Товар 54",6,"18720.01"
"Товар 279",9,"18711.05"
"Товар 211",7,"18665.24"
"Товар 9",7,"18660.28"
"Товар 433",8,"18323.33"
"Товар 421",9,"18268.61"
"Товар 401",1,"18257.34"
"Товар 231",8,"18177.13"
"Товар 410",10,"18044.35"
"Товар 269",10,"17993.74"
"Товар 155",6,"17908.67"
"Товар 350",1,"17844.52"
"Товар 12",9,"17844.11"
"Товар 416",3,"17671.83"
"Товар 306",6,"17667.29"
"Товар 165",7,"17560.70"
"Товар 193",4,"17559.32"
"Товар 13",7,"17531.89"
"Товар 243",7,"17429.71"
"Товар 315",2,"17213.13"
"Товар 204",6,"17136.34"
"Товар 152",4,"17012.77"
"Товар 88",6,"16953.87"
"Товар 208",2,"16895.03"
"Товар 223",8,"16837.60"
"Товар 115",6,"16828.79"
"Товар 429",4,"16779.92"
"Товар 244",4,"16616.27"
"Товар 118",3,"16489.66"
"Товар 378",5,"16432.48"
"Товар 412",7,"16422.19"
"Товар 469",6,"16404.45"
"Товар 63",4,"16259.32"
"Товар 243",5,"16231.39"
"Товар 79",3,"16181.33"
"Товар 157",2,"16116.54"
"Товар 418",3,"16047.99"
"Товар 437",8,"15870.21"
"Товар 267",1,"15791.53"
"Товар 245",3,"15773.23"
"Товар 178",6,"15762.48"
"Товар 277",5,"15605.06"
"Товар 293",3,"15370.15"
"Товар 346",9,"15350.99"
"Товар 2",7,"15329.52"
"Товар 64",9,"15202.60"
"Товар 194",1,"15116.63"
"Товар 28",1,"15048.51"
"Товар 342",9,"15005.79"
"Товар 268",4,"14877.33"
"Товар 77",3,"14767.92"
"Товар 31",1,"14761.66"
"Товар 326",4,"14728.29"
"Товар 483",9,"14643.09"
"Товар 139",3,"14628.41"
"Товар 144",4,"14610.87"
"Товар 183",9,"14422.64"
"Товар 207",9,"14287.48"
"Товар 316",8,"14115.54"
"Товар 45",4,"13865.12"
"Товар 125",5,"13773.88"
"Товар 289",10,"13358.74"
"Товар 69",9,"13085.01"
